,Name Of Movie,Release Year,Genre,Duration In Minutes,Ratings,Votes,Gross Earnings,Oscar Nominations,Oscars Won
66,The French Connection,1971,"Action, Crime, Drama",104,7.7,"135,661",$15.63M,8,5
67,City Lights,1931,"Comedy, Drama, Romance",87,8.5,"196,038",$0.02M,0,0
68,It Happened One Night,1934,"Comedy, Romance",105,8.1,"112,251",$4.36M,5,5
69,A Place in the Sun,1951,"Drama, Romance",122,7.7,"24,762",NO Information ,9,6
70,Midnight Cowboy,1969,Drama,113,7.8,"120,761",$44.79M,7,3
71,Mr. Smith Goes to Washington,1939,"Comedy, Drama",129,8.1,"121,374",$9.60M,11,1
72,Rain Man,1988,Drama,133,8.0,"546,527",$178.80M,8,4
73,Annie Hall,1977,"Comedy, Romance",93,8.0,"278,377",$39.20M,5,4
74,Fargo,1996,"Crime, Thriller",98,8.1,"726,567",$24.61M,7,2
75,Giant,1956,"Drama, Western",201,7.6,"42,236",NO Information ,10,1
76,Shane,1953,"Drama, Western",118,7.6,"44,134",$20.00M,6,1
77,The Grapes of Wrath,1940,Drama,129,8.1,"99,933",$0.06M,7,2
78,The Green Mile,1999,"Crime, Drama, Fantasy",189,8.6,"1,407,131",$136.80M,4,0
79,Close Encounters of the Third Kind,1977,"Drama, Sci-Fi",138,7.6,"216,849",$132.09M,8,1
80,Nashville,1975,"Comedy, Drama, Music",160,7.6,"28,559",$14.82M,5,1
81,Network,1976,Drama,121,8.1,"170,616",NO Information ,10,4
82,The Graduate,1967,"Comedy, Drama, Romance",106,8.0,"288,386",$104.95M,7,1
83,American Graffiti,1973,"Comedy, Drama",110,7.4,"98,140",$115.00M,5,0
84,Pulp Fiction,1994,"Crime, Drama",154,8.9,"2,219,756",$107.93M,7,1
85,Terms of Endearment,1983,"Comedy, Drama",132,7.4,"65,468",$108.42M,11,5
86,Good Will Hunting,1997,"Drama, Romance",126,8.3,"1,067,760",$138.43M,9,2
87,The African Queen,1951,"Adventure, Drama, Romance",105,7.7,"84,305",$0.54M,4,1
88,Stagecoach,1939,"Adventure, Drama, Western",96,7.8,"53,754",NO Information ,7,2
89,Mutiny on the Bounty,1935,"Adventure, Biography, Drama",132,7.6,"24,846",NO Information ,8,1
90,The Great Dictator,1940,"Comedy, Drama, War",125,8.4,"237,321",$0.29M,5,0
91,Double Indemnity,1944,"Crime, Drama, Film-Noir",107,8.3,"167,433",$5.72M,7,0
92,The Maltese Falcon,1941,"Crime, Film-Noir, Mystery",100,8.0,"166,557",$2.11M,3,0
93,Wuthering Heights,1939,"Drama, Romance",104,7.5,"19,767",$0.76M,8,1
94,Taxi Driver,1976,"Crime, Drama",114,8.2,"920,530",$28.26M,4,0
95,Rear Window,1954,"Mystery, Thriller",112,8.5,"522,000",$36.76M,4,0
96,The Third Man,1949,"Film-Noir, Mystery, Thriller",104,8.1,"181,810",$0.45M,3,1
97,Rebel Without a Cause,1955,Drama,111,7.6,"97,937",NO Information ,3,0
98,North by Northwest,1959,"Action, Adventure, Mystery",136,8.3,"346,107",$13.28M,3,0
99,Yankee Doodle Dandy,1942,"Biography, Drama, Family",126,7.6,"16,859",$11.80M,8,3
